Step,Test #,Start Time,End Time,Duration
DiscoverService,1,1470310371917,1470310373483,1566
DiscoverService,2,1470310373595,1470310374929,1334
DiscoverService,3,1470310374948,1470310375982,1034
DiscoverService,4,1470310376010,1470310376433,423
DiscoverService,5,1470310376465,1470310376879,414
DiscoverService,6,1470310376902,1470310378049,1147
DiscoverService,7,1470310378074,1470310378747,673
DiscoverService,8,1470310378769,1470310379956,1187
DiscoverService,9,1470310379974,1470310381469,1495
DiscoverService,10,1470310381525,1470310383476,1951
DiscoverService,11,1470310383496,1470310383955,459
DiscoverService,12,1470310383986,1470310384570,584
DiscoverService,13,1470310384595,1470310385036,441
DiscoverService,14,1470310385054,1470310385426,372
DiscoverService,15,1470310385442,1470310386986,1544
DiscoverService,16,1470310387002,1470310387440,438
DiscoverService,17,1470310387456,1470310387884,428
DiscoverService,18,1470310387929,1470310388385,456
DiscoverService,19,1470310388400,1470310388838,438
DiscoverService,20,1470310388860,1470310389342,482
DiscoverService,21,1470310389363,1470310389837,474
DiscoverService,22,1470310389851,1470310390861,1010
DiscoverService,23,1470310390892,1470310391357,465
DiscoverService,24,1470310391371,1470310391701,330
DiscoverService,25,1470310391723,1470310392199,476
DiscoverService,26,1470310392217,1470310392943,726
DiscoverService,27,1470310392961,1470310393789,828
DiscoverService,28,1470310393819,1470310394167,348
DiscoverService,29,1470310394198,1470310394805,607
DiscoverService,30,1470310394840,1470310395429,589
DiscoverService,31,1470310395479,1470310396050,571
DiscoverService,32,1470310396077,1470310397695,1618
DiscoverService,33,1470310397727,1470310398108,381
DiscoverService,34,1470310398127,1470310398603,476
DiscoverService,35,1470310398626,1470310399022,396
DiscoverService,36,1470310399040,1470310400456,1416
DiscoverService,37,1470310400494,1470310401688,1194
DiscoverService,38,1470310401709,1470310402545,836
DiscoverService,39,1470310402563,1470310403490,927
DiscoverService,40,1470310403514,1470310404516,1002
DiscoverService,41,1470310404537,1470310407177,2640
DiscoverService,42,1470310407208,1470310408259,1051
DiscoverService,43,1470310408285,1470310410414,2129
DiscoverService,44,1470310410450,1470310411490,1040
DiscoverService,45,1470310411545,1470310412356,811
DiscoverService,46,1470310412370,1470310413560,1190
DiscoverService,47,1470310413579,1470310414022,443
DiscoverService,48,1470310414039,1470310414659,620
DiscoverService,49,1470310414683,1470310415235,552
DiscoverService,50,1470310415262,1470310415879,617
DiscoverService,51,1470310415926,1470310416367,441
DiscoverService,52,1470310416397,1470310433916,17519
DiscoverService,53,1470310433950,1470310434374,424
DiscoverService,54,1470310434392,1470310435020,628
DiscoverService,55,1470310435041,1470310435042,1
DiscoverService,56,1470310435060,1470310436355,1295
DiscoverService,57,1470310436401,1470310437256,855
DiscoverService,58,1470310437283,1470310438220,937
DiscoverService,59,1470310438242,1470310439669,1427
DiscoverService,60,1470310439694,1470310440066,372
DiscoverService,61,1470310440088,1470310441643,1555
DiscoverService,62,1470310441664,1470310441665,1
DiscoverService,63,1470310441685,1470310442257,572
DiscoverService,64,1470310442281,1470310442659,378
DiscoverService,65,1470310442677,1470310443581,904
DiscoverService,66,1470310443603,1470310444108,505
DiscoverService,67,1470310444125,1470310444725,600
