Step,Test #,Start Time,End Time,Duration
DiscoverService,1,1470316778364,1470316782634,4270
DiscoverService,2,1470316782736,1470316784840,2104
DiscoverService,3,1470316784878,1470316786948,2070
DiscoverService,4,1470316786992,1470316788861,1869
DiscoverService,5,1470316788918,1470316790964,2046
DiscoverService,6,1470316791021,1470316792991,1970
DiscoverService,7,1470316793037,1470316795110,2073
DiscoverService,8,1470316795155,1470316797026,1871
DiscoverService,9,1470316797078,1470316799147,2069
DiscoverService,10,1470316799162,1470316800955,1793
DiscoverService,11,1470316800996,1470316802810,1814
DiscoverService,12,1470316802859,1470316804509,1650
DiscoverService,13,1470316804525,1470316806438,1913
DiscoverService,14,1470316806486,1470316808137,1651
DiscoverService,15,1470316808153,1470316809821,1668
DiscoverService,16,1470316809839,1470316811499,1660
DiscoverService,17,1470316811552,1470316813225,1673
DiscoverService,18,1470316813300,1470316815113,1813
DiscoverService,19,1470316815128,1470316816976,1848
DiscoverService,20,1470316816995,1470316818654,1659
DiscoverService,21,1470316818730,1470316820557,1827
DiscoverService,22,1470316820573,1470316822291,1718
DiscoverService,23,1470316822379,1470316824129,1750
DiscoverService,24,1470316824194,1470316826024,1830
DiscoverService,25,1470316826046,1470316827696,1650
DiscoverService,26,1470316827742,1470316829442,1700
DiscoverService,27,1470316829492,1470316831250,1758
DiscoverService,28,1470316831311,1470316833123,1812
DiscoverService,29,1470316833140,1470316834953,1813
DiscoverService,30,1470316834968,1470316836662,1694
DiscoverService,31,1470316836677,1470316838558,1881
DiscoverService,32,1470316838574,1470316840373,1799
DiscoverService,33,1470316840389,1470316842211,1822
DiscoverService,34,1470316842226,1470316844093,1867
DiscoverService,35,1470316844114,1470316845757,1643
DiscoverService,36,1470316845816,1470316847671,1855
DiscoverService,37,1470316847689,1470316849337,1648
DiscoverService,38,1470316849390,1470316851037,1647
DiscoverService,39,1470316851090,1470316852910,1820
DiscoverService,40,1470316852996,1470316854665,1669
DiscoverService,41,1470316854744,1470316856594,1850
DiscoverService,42,1470316856611,1470316858333,1722
DiscoverService,43,1470316858367,1470316861676,3309
DiscoverService,44,1470316861759,1470316863667,1908
DiscoverService,45,1470316863684,1470316865507,1823
DiscoverService,46,1470316865527,1470316867239,1712
DiscoverService,47,1470316867285,1470316869145,1860
DiscoverService,48,1470316869162,1470316870881,1719
DiscoverService,49,1470316870932,1470316873376,2444
DiscoverService,50,1470316873392,1470316875233,1841
DiscoverService,51,1470316875250,1470316877092,1842
DiscoverService,52,1470316877139,1470316878979,1840
DiscoverService,53,1470316879015,1470316881490,2475
DiscoverService,54,1470316881550,1470316883171,1621
DiscoverService,55,1470316883216,1470316885096,1880
DiscoverService,56,1470316885131,1470316886947,1816
DiscoverService,57,1470316886999,1470316889075,2076
DiscoverService,58,1470316889122,1470316890721,1599
DiscoverService,59,1470316890737,1470316894570,3833
DiscoverService,60,1470316894618,1470316896693,2075
DiscoverService,61,1470316896709,1470316898545,1836
DiscoverService,62,1470316898560,1470316900212,1652
DiscoverService,63,1470316900228,1470316901897,1669
DiscoverService,64,1470316901975,1470316903688,1713
DiscoverService,65,1470316903751,1470316905413,1662
DiscoverService,66,1470316905484,1470316907129,1645
DiscoverService,67,1470316907187,1470316908821,1634
DiscoverService,68,1470316908878,1470316910758,1880
DiscoverService,69,1470316910782,1470316912648,1866
DiscoverService,70,1470316912664,1470316915066,2402
DiscoverService,71,1470316915081,1470316916891,1810
DiscoverService,72,1470316916906,1470316918554,1648
DiscoverService,73,1470316918616,1470316920312,1696
DiscoverService,74,1470316920378,1470316922009,1631
DiscoverService,75,1470316922070,1470316923691,1621
DiscoverService,76,1470316923762,1470316925403,1641
DiscoverService,77,1470316925420,1470316927058,1638
DiscoverService,78,1470316927126,1470316928799,1673
DiscoverService,79,1470316928815,1470316930462,1647
DiscoverService,80,1470316930478,1470316932346,1868
DiscoverService,81,1470316932373,1470316934011,1638
DiscoverService,82,1470316934078,1470316935975,1897
DiscoverService,83,1470316936004,1470316937642,1638
DiscoverService,84,1470316937700,1470316939411,1711
DiscoverService,85,1470316939460,1470316941915,2455
DiscoverService,86,1470316942004,1470316943645,1641
DiscoverService,87,1470316943700,1470316945441,1741
DiscoverService,88,1470316945485,1470316949741,4256
DiscoverService,89,1470316949776,1470316951598,1822
DiscoverService,90,1470316951663,1470316953555,1892
DiscoverService,91,1470316953623,1470316955296,1673
DiscoverService,92,1470316955376,1470316957275,1899
DiscoverService,93,1470316957294,1470316959134,1840
DiscoverService,94,1470316959152,1470316960984,1832
DiscoverService,95,1470316961001,1470316962667,1666
DiscoverService,96,1470316962713,1470316964574,1861
DiscoverService,97,1470316964590,1470316966399,1809
DiscoverService,98,1470316966414,1470316969459,3045
DiscoverService,99,1470316969475,1470316971107,1632
DiscoverService,100,1470316971124,1470316972929,1805
