Step,Test #,Start Time,End Time,Duration
DiscoverService,1,1470309854723,1470309857098,2375
DiscoverService,2,1470309857133,1470309858177,1044
DiscoverService,3,1470309858215,1470309858577,362
DiscoverService,4,1470309858595,1470309859604,1009
DiscoverService,5,1470309859625,1470309860019,394
DiscoverService,6,1470309860032,1470309860933,901
DiscoverService,7,1470309860963,1470309861527,564
DiscoverService,8,1470309861548,1470309864216,2668
DiscoverService,9,1470309864247,1470309865219,972
DiscoverService,10,1470309865251,1470309865683,432
DiscoverService,11,1470309865699,1470309866227,528
DiscoverService,12,1470309866243,1470309866705,462
DiscoverService,13,1470309866727,1470309867301,574
DiscoverService,14,1470309867341,1470309867802,461
DiscoverService,15,1470309867820,1470309868209,389
DiscoverService,16,1470309868227,1470309869819,1592
DiscoverService,17,1470309869851,1470309870931,1080
DiscoverService,18,1470309870952,1470309872444,1492
DiscoverService,19,1470309872476,1470309873492,1016
DiscoverService,20,1470309873537,1470309873897,360
DiscoverService,21,1470309873912,1470309875036,1124
DiscoverService,22,1470309875057,1470309876287,1230
DiscoverService,23,1470309876312,1470309877656,1344
DiscoverService,24,1470309877701,1470309878132,431
DiscoverService,25,1470309878164,1470309878596,432
DiscoverService,26,1470309878627,1470309879124,497
DiscoverService,27,1470309879141,1470309879703,562
DiscoverService,28,1470309879726,1470309880246,520
DiscoverService,29,1470309880274,1470309880695,421
DiscoverService,30,1470309880727,1470309881207,480
DiscoverService,31,1470309881223,1470309881737,514
DiscoverService,32,1470309881759,1470309885136,3377
DiscoverService,33,1470309885158,1470309885516,358
DiscoverService,34,1470309885531,1470309886043,512
DiscoverService,35,1470309886065,1470309887306,1241
DiscoverService,36,1470309887333,1470309887720,387
DiscoverService,37,1470309887746,1470309888213,467
DiscoverService,38,1470309888232,1470309888681,449
DiscoverService,39,1470309888708,1470309889122,414
DiscoverService,40,1470309889138,1470309889538,400
DiscoverService,41,1470309889557,1470309890100,543
DiscoverService,42,1470309890118,1470309890509,391
DiscoverService,43,1470309890536,1470309891033,497
DiscoverService,44,1470309891064,1470309891450,386
DiscoverService,45,1470309891473,1470309892260,787
DiscoverService,46,1470309892279,1470309892954,675
DiscoverService,47,1470309892975,1470309894979,2004
DiscoverService,48,1470309895009,1470309895892,883
DiscoverService,49,1470309895921,1470309896487,566
DiscoverService,50,1470309896530,1470309897353,823
DiscoverService,51,1470309897372,1470309899570,2198
DiscoverService,52,1470309899605,1470309901048,1443
DiscoverService,53,1470309901080,1470309901603,523
DiscoverService,54,1470309901649,1470309902030,381
DiscoverService,55,1470309902049,1470309902934,885
DiscoverService,56,1470309902948,1470309904098,1150
DiscoverService,57,1470309904126,1470309904730,604
DiscoverService,58,1470309904755,1470309905956,1201
DiscoverService,59,1470309905980,1470309906506,526
DiscoverService,60,1470309906542,1470309906935,393
DiscoverService,61,1470309906955,1470309907396,441
DiscoverService,62,1470309907409,1470309908347,938
DiscoverService,63,1470309908365,1470309910119,1754
DiscoverService,64,1470309910169,1470309910899,730
DiscoverService,65,1470309910931,1470309911523,592
DiscoverService,66,1470309911553,1470309912525,972
DiscoverService,67,1470309912586,1470309913641,1055
DiscoverService,68,1470309913687,1470309914354,667
DiscoverService,69,1470309914375,1470309914814,439
DiscoverService,70,1470309914832,1470309918053,3221
DiscoverService,71,1470309918091,1470309918669,578
DiscoverService,72,1470309918686,1470309919158,472
DiscoverService,73,1470309919174,1470309919633,459
DiscoverService,74,1470309919651,1470309920023,372
DiscoverService,75,1470309920043,1470309921070,1027
DiscoverService,76,1470309921119,1470309922154,1035
DiscoverService,77,1470309922177,1470309922767,590
DiscoverService,78,1470309922785,1470309923713,928
DiscoverService,79,1470309923747,1470309924181,434
DiscoverService,80,1470309924200,1470309924648,448
DiscoverService,81,1470309924668,1470309927205,2537
DiscoverService,82,1470309927245,1470309927624,379
DiscoverService,83,1470309927638,1470309930011,2373
DiscoverService,84,1470309930061,1470309932882,2821
DiscoverService,85,1470309932930,1470309933369,439
DiscoverService,86,1470309933384,1470309934739,1355
DiscoverService,87,1470309934757,1470309935152,395
DiscoverService,88,1470309935185,1470309937794,2609
DiscoverService,89,1470309937843,1470309938656,813
DiscoverService,90,1470309938678,1470309940044,1366
DiscoverService,91,1470309940077,1470309940818,741
DiscoverService,92,1470309940839,1470309941675,836
DiscoverService,93,1470309941696,1470309942265,569
DiscoverService,94,1470309942308,1470309942777,469
DiscoverService,95,1470309942809,1470309944481,1672
DiscoverService,96,1470309944519,1470309949417,4898
DiscoverService,97,1470309949449,1470309949908,459
DiscoverService,98,1470309949926,1470309950574,648
DiscoverService,99,1470309950592,1470309951084,492
DiscoverService,100,1470309951098,1470309951506,408
